song,url,album
The Night We Met,https://api.spotify.com/v1/tracks/6mORGLOz79w6VsCRLWYYuK,Sad Indie
Touch,https://api.spotify.com/v1/tracks/1VXm7mZBHT9PYav9LGWQlQ,Sad Indie
Holocene,https://api.spotify.com/v1/tracks/1XQnZTR0ER8y5fGO17uX1R,Sad Indie
Chewing Cotton Wool,https://api.spotify.com/v1/tracks/2qRRVF41NynV0FRHJKaYjM,Sad Indie
when the party's over,https://api.spotify.com/v1/tracks/14JzyD6FlBD5z0wV5P07YI,Sad Indie
Lonely Shade of Blue,https://api.spotify.com/v1/tracks/3Xy4XTx8YUspuzOAP1VteX,Sad Indie
Youth,https://api.spotify.com/v1/tracks/4AmcmraFjVzFb9SQDNTRyl,Sad Indie
hope is a dangerous thing for a woman like me to have - but I have it,https://api.spotify.com/v1/tracks/1PfUKiMDKIlPEF9FfdJawc,Sad Indie
Wait,https://api.spotify.com/v1/tracks/3rTnGUeDrnZV22DvRuUuXr,Sad Indie
Somebody Else,https://api.spotify.com/v1/tracks/5hc71nKsUgtwQ3z52KEKQk,Sad Indie
September Song,https://api.spotify.com/v1/tracks/6SctHYL0HaQ5hFpUxXULYa,Sad Indie
High And Dry,https://api.spotify.com/v1/tracks/5jafMI8FLibnjkYTZ33m0c,Sad Indie
Used To Be Lonely,https://api.spotify.com/v1/tracks/3vhjvHdXDMiK0yEk6AyIVa,Sad Indie
I Forget Where We Were,https://api.spotify.com/v1/tracks/7gYwIAHB6VxzLJFSZMMv8i,Sad Indie
Wind Up Bird,https://api.spotify.com/v1/tracks/6xKvvMIVcbXb3HULGHgKlv,Sad Indie
Otherside,https://api.spotify.com/v1/tracks/7nycFVsC616uen7TOxhOQb,Sad Indie
Dinosaur,https://api.spotify.com/v1/tracks/5dLVPZd9DTpd17UlKrOWa1,Sad Indie
Godmanchester Chinese Bridge - Radio Edit,https://api.spotify.com/v1/tracks/10wKg1j4Mzfj9QQAy3TpJ1,Sad Indie
Permanent Way,https://api.spotify.com/v1/tracks/04BGOF5G8ztSjRkhhM0SmE,Sad Indie
Miss Misanthrope,https://api.spotify.com/v1/tracks/0u6rjHF61bxe25gZOOZ5hx,Sad Indie
Bashed Out,https://api.spotify.com/v1/tracks/7HT6TuyQsBNGghhYYzInsU,Sad Indie
Horizon,https://api.spotify.com/v1/tracks/1I55KLlJlGi3fyiA650Oxz,Sad Indie
The Grate,https://api.spotify.com/v1/tracks/2nhaP1aUT1u5saIG5Ikxjv,Sad Indie
9 Crimes,https://api.spotify.com/v1/tracks/5GZEeowhvSieFDiR8fQ2im,Sad Indie
Berlin,https://api.spotify.com/v1/tracks/7BSMSvK0WxrDeI98bswYa8,Sad Indie
Light Years,https://api.spotify.com/v1/tracks/0dcKsPZVWa64MvnoCes49q,Sad Indie
Wasting My Young Years,https://api.spotify.com/v1/tracks/3elOzp9X3B8vMGhJBWzbIF,Sad Indie
Retrograde,https://api.spotify.com/v1/tracks/2IqjKEBiz0CdLKdkXhxw84,Sad Indie
Romance (edit),https://api.spotify.com/v1/tracks/3C4ELBpjDw4fXVJIvOvZwF,Sad Indie
To Be Alone With You,https://api.spotify.com/v1/tracks/3tchJ8gDgMdaSxpaLxlr1F,Sad Indie
Used To Be Lonely,https://api.spotify.com/v1/tracks/0jWKeM9GbmR1tG6yLP2wX2,Sad Indie
Rivers And Roads,https://api.spotify.com/v1/tracks/7kgMtZHgem1PlJhuP7vbur,Sad Indie
Adele,https://api.spotify.com/v1/tracks/41GmtZAyb2t1diD2da8IBD,Sad Indie
Andromeda,https://api.spotify.com/v1/tracks/3NQMi6VzmxmKeqhcbE02WI,Sad Indie
Lua,https://api.spotify.com/v1/tracks/4PMvRfhHAx5j6Bb3XsFLoq,Sad Indie
See Me,https://api.spotify.com/v1/tracks/4akuE3uBD4t5HTXaAEm88t,Sad Indie
Tiger Mountain Peasant Song,https://api.spotify.com/v1/tracks/1YZBmsCYf8gKSCwYKu6l5U,Sad Indie
The Confines Of This World,https://api.spotify.com/v1/tracks/70PqTt8X0noPd9cMazSkvF,Sad Indie
You Don't Know How Lucky You Are,https://api.spotify.com/v1/tracks/7L4w1yQnlhqo4oUjpW53wz,Sad Indie
Hypocrite,https://api.spotify.com/v1/tracks/3drzLw3ZV2fWlPWWzTCFaf,Sad Indie
The Past And Pending,https://api.spotify.com/v1/tracks/1eCQLMdAwweBZUWjd0Qrck,Sad Indie
The Last Great Washington State,https://api.spotify.com/v1/tracks/6dw77SiVkP3HurqIYE7twQ,Sad Indie
Binary Love,https://api.spotify.com/v1/tracks/5ZTezl85jcimRNnRHWAUK8,Sad Indie
Jim Cain,https://api.spotify.com/v1/tracks/7pVAdbWP9gQZvnOIqBL6Cl,Sad Indie
parties,https://api.spotify.com/v1/tracks/0IhH5cuZdOg3eELZe4yVtk,Sad Indie
Bobby,https://api.spotify.com/v1/tracks/4Zwaww34UGavdW9NSuleck,Sad Indie
First Prize Bravery,https://api.spotify.com/v1/tracks/6tyLrGQXuo4XW03ABP2tSr,Sad Indie
Cavalier,https://api.spotify.com/v1/tracks/3h6RD7RYENDIb3qB9Bw4OB,Sad Indie
Bony Shelter,https://api.spotify.com/v1/tracks/4ZB6Wrh3QUnjfl9ciZXeGh,Sad Indie
Stay With Me - Live From Spotify Berlin,https://api.spotify.com/v1/tracks/2GiYPEgOA7hb7sqsEWX8df,Sad Indie
Tomb,https://api.spotify.com/v1/tracks/6ZYy5Z5E03reWlt3hZuvXn,Sad Indie
Wild As Fire,https://api.spotify.com/v1/tracks/2V2lU6rKHxhRnU4eANsxEI,Sad Indie
Stranger Still - Acoustic,https://api.spotify.com/v1/tracks/2fEMi5GG6bJrnLSoiTWxK4,Sad Indie
All Mirrors,https://api.spotify.com/v1/tracks/4ZQdynvfiayhdoq5lcuCQ1,Sad Indie
the party,https://api.spotify.com/v1/tracks/01LAKgiEh9mhEk5dOplzQy,Sad Indie
Lilo,https://api.spotify.com/v1/tracks/56aLJW6EJJxbp6uVRvXjVy,Sad Indie
Milk,https://api.spotify.com/v1/tracks/7qbQiDc6OZgw8p91UTy2fE,Sad Indie
I'm on Fire,https://api.spotify.com/v1/tracks/6EdnX4fu6jAY65VmOHFhOk,Sad Indie
Paradis Perdus,https://api.spotify.com/v1/tracks/7tVQihtECJIEpQX0osLRwo,Sad Indie
Valentine,https://api.spotify.com/v1/tracks/5XqmNCCleex8nzKmILOjTD,Sad Indie
To the Moon,https://api.spotify.com/v1/tracks/65AABj5XsDcxGT92w3jK0o,Sad Indie
Ghost Town,https://api.spotify.com/v1/tracks/4GNcXcBJWF5oA89tB4PxOk,Sad Indie
I Don't Hate You,https://api.spotify.com/v1/tracks/20s3N7bTMvi7vmkdbD6c3N,Sad Indie
Night Shift,https://api.spotify.com/v1/tracks/2AF5Kzxb4pz7j79Ity84pP,Sad Indie
Rose Petals,https://api.spotify.com/v1/tracks/0NJ1LV5VblYyJsJt3EbAx7,Sad Indie
